Year,Team,Week,PrevRank,RankDiff,Conference,H/A/N,Fav/Und,OppTeam,Opp Conf,ScoreDiff,WinLose,OT?,TODiff,YPPDiff,PenYdDiff,TOPDiff,GameStatus,WinPer,TimeRem,Rank
2018,Alabama,12,1,-74,SEC,H,F,Citadel,FCS,14,IP,N,1,6.1733,24,-580,In Progress,100,1320,
2018,Ohio State,12,10,-40,Big 10,A,F,Maryland,Big 10,-7,IP,N,0,-2.8258,6,86,In Progress,90,1800,
2018,Maryland,12,50,40,Big 10,H,U,Ohio State,Big 10,7,IP,N,0,2.8258,-6,-86,In Progress,50,1800,
2018,Florida,12,13,-62,SEC,H,F,Idaho,FCS,49,IP,N,0,5.8258,-28,-136,In Progress,70,1468,
2018,Utah,12,19,-31,PAC-12,A,F,Colorado,PAC-12,-7,IP,N,0,-0.2346,30,100,In Progress,70,2700,
2018,Colorado,12,50,31,PAC-12,H,U,Utah,PAC-12,7,IP,N,0,0.2346,-30,-100,In Progress,50,2700,
2018,FIU,12,50,0,CUSA,A,F,Charlotte,CUSA,6,IP,N,-1,1.031,-1,-410,In Progress,70,1800,
2018,Charlotte,12,50,0,CUSA,H,U,FIU,CUSA,-6,IP,N,1,-1.031,1,410,In Progress,40,1800,
2018,Georgia State,12,50,10,Sun Belt,A,U,Appalachian State,Sun Belt,-10,IP,N,0,-3.2229,-46,-156,In Progress,20,1800,
2018,Appalachian State,12,40,-10,Sun Belt,H,F,Georgia State,Sun Belt,10,IP,N,0,3.2229,46,156,In Progress,70,1800,
2018,Notre Dame,12,3,-9,Independent,N,F,Syracuse,ACC,20,IP,N,-2,2.9758,10,472,In Progress,100,1800,
2018,Syracuse,12,12,9,ACC,N,U,Notre Dame,Independent,-20,IP,N,2,-2.9758,-10,-472,In Progress,80,1800,
2018,Georgia,12,5,-45,SEC,H,F,Massachusetts,Independent,29,IP,N,1,9.58,-34,-372,In Progress,90,1800,
2018,Massachusetts,12,50,45,Independent,A,U,Georgia,SEC,-29,IP,N,-1,-9.58,34,372,In Progress,36.364,1800,
2018,Michigan,12,4,-46,Big 10,H,F,Indiana,Big 10,-2,IP,N,-1,-0.01667,-10,318,In Progress,90,1800,
2018,Indiana,12,50,46,Big 10,A,U,Michigan,Big 10,2,IP,N,1,0.01667,10,-318,In Progress,50,1800,
2018,Clemson,12,2,-31,ACC,H,F,Duke,ACC,15,IP,N,0,2.4614,7,-668,In Progress,100,1328,
2018,Duke,12,33,31,ACC,A,U,Clemson,ACC,-15,IP,N,0,-2.4614,-7,668,In Progress,70,1328,
2018,Oklahoma,12,6,-44,Big 12,H,F,Kansas,Big 12,4,IP,N,2,0.11163,-15,-108,In Progress,90,1334,
2018,Kansas,12,50,44,Big 12,A,U,Oklahoma,Big 12,-4,IP,N,-2,-0.11163,15,108,In Progress,30,1334,
2018,LSU,12,10,-40,SEC,H,F,Rice,CUSA,32,IP,N,1,5.49324,-12,-196,In Progress,80,1472,
2018,Rice,12,50,40,CUSA,A,U,LSU,SEC,-32,IP,N,-1,-5.49324,12,196,In Progress,9.091,1472,
2018,Texas,12,13,-5,Big 12,H,F,Iowa State,Big 12,14,IP,N,-1,3.40064,5,378,In Progress,70,1800,
2018,Iowa State,12,18,5,Big 12,A,U,Texas,Big 12,-14,IP,N,1,-3.40064,-5,-378,In Progress,66.667,1800,
2018,UCF,12,11,-8,AAC,H,F,Cincinnati,AAC,15,IP,N,0,2.5506,-10,-778,In Progress,100,1800,
2018,Cincinnati,12,19,8,AAC,A,U,UCF,AAC,-15,IP,N,0,-2.5506,10,778,In Progress,90,1800,
